created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Sun Aug 14 13:54:15 +0000 2022,1558814259982716929,Ada apa? Pagi-Pagi Pangdam Jaya Sambangi Rumah Irjen Pol Fadil Imran  https://t.co/RrTFihEwfj,40,236,212,746,in,3319260420,1558814259982716929,geloraco,https://twitter.com/geloraco/status/1558814259982716929,
Sun Aug 14 06:46:30 +0000 2022,1558706610754781184,Sudah berapa jumlah anak buah Fadil yg terlibat? Yakin Fadil tidak tahu dan gak ada lapor sama sekali? Kenyataan ada pertemuan dan berpelukan dengan Sambo.,13,57,444,1811,in,907897495044317185,1558706610754781184,UyokBack,https://twitter.com/UyokBack/status/1558706610754781184,
Sat Aug 13 14:39:51 +0000 2022,1558463349335080962,"Dulu Peluk dan Cium Ferdy Sambo, Kini Kapolda Metro Jaya Fadil Imran Diam Seribu Bahasa https://t.co/dbJE73cNTK",10,87,174,604,in,3319260420,1558463349335080962,geloraco,https://twitter.com/geloraco/status/1558463349335080962,
Sat Aug 13 13:54:36 +0000 2022,1558451960474267649,"Wah bertambah 4 orang, jadi total 12 orang anak buah Fadil diduga terlibat, dan Fadil masih aman2 saja ? Masuk akal gak sih ? 🤧 https://t.co/GpUKlq8u45",57,197,1096,2851,in,227320530,1558451960474267649,hipohan,https://twitter.com/hipohan/status/1558451960474267649,
Sat Aug 13 06:48:26 +0000 2022,1558344710296829952,"Citra Polda Metro Jaya Saat ini Terlihat Busuk dan Buruk Semenjak Aksi Pelukan Fadil dan Sambo Yang Telah Jadi Tersangka.  Warganet Minta Kapolda Metro Irjen Fadil Imran Dicopot, Pengamat: Wajar dan Tak Berlebihan https://t.co/lBGAEaTRBn",15,52,433,1559,in,2905814730,1558344710296829952,abu_waras,https://twitter.com/abu_waras/status/1558344710296829952,
Sat Aug 13 01:27:14 +0000 2022,1558263878047629312,"Beny Mamoto, Pak Dudung, pak Fadil Imran, itu  Face nya, tergolong berjenis bulat. Sekilas, ketiganya, kek  ada kemiripan gitu, ya?  Menurut beberapa artikel psikologi jenis wajah bulat spt itu, kalau tidur pada umumnya mendengkur. https://t.co/IISUVqWyBM",13,268,127,971,in,1116041282126618624,1558263878047629312,MinmonPS7,https://twitter.com/MinmonPS7/status/1558263878047629312,
Fri Aug 12 23:53:16 +0000 2022,1558240231048224768,"Heboh Cara Pelukan Fadil dan Sambo Yang Berlangsung Cukup Lama, Netizen: Liatnya Geli dan Nampak Mencurigakan.",21,175,263,1029,in,2905814730,1558240231048224768,abu_waras,https://twitter.com/abu_waras/status/1558240231048224768,
Fri Aug 12 10:53:17 +0000 2022,1558043942972964864,"Nambah lagi satu anak buah Fadil yang ditangkap, total 8 orang. Apakah Fadil kini sudah mulai sulit tidur nyenyak ? 🤧 https://t.co/f6ipUX827f",31,113,680,1939,in,227320530,1558043942972964864,hipohan,https://twitter.com/hipohan/status/1558043942972964864,
Fri Aug 12 10:32:52 +0000 2022,1558038803910397952,"Publik Minta Fadil Imran Dicopot: Saatnya Institusi Polri Berbenah, Fadil Harus Dinonaktifkan https://t.co/szRVN55jvk  #FadilHarusDicopot  #FadilHarusDicopot",45,126,961,2992,in,1363093741456617477,1558038803910397952,baronko_cole,https://twitter.com/baronko_cole/status/1558038803910397952,
Fri Aug 12 10:28:13 +0000 2022,1558037634248998912,"Warganet Minta Kapolda Metro Irjen Fadil Imran Dicopot, Pengamat: Wajar dan Tak Berlebihan https://t.co/qei8DntfqM #FadilHarusDicopot  #FadilHarusDicopot",41,103,764,2481,in,1363093741456617477,1558037634248998912,baronko_cole,https://twitter.com/baronko_cole/status/1558037634248998912,
